indice,tiempo_s,velocidad_mps,velocidad_sin_media
47,4.698999999999984,0.905,-0.03303731343283578
48,4.799999999999983,0.788,-0.15003731343283577
49,4.903999999999996,0.691,-0.24703731343283586
50,4.998999999999995,0.704,-0.23403731343283585
51,5.099999999999994,0.714,-0.22403731343283584
52,5.198999999999984,0.779,-0.15903731343283578
53,5.302999999999997,0.812,-0.12603731343283575
54,5.399000000000001,0.833,-0.10503731343283584
55,5.500999999999976,0.832,-0.10603731343283584
56,5.5989999999999895,0.784,-0.15403731343283578
57,5.698999999999984,0.74,-0.19803731343283582
58,5.800999999999988,0.789,-0.14903731343283577
59,5.899000000000001,0.864,-0.07403731343283582
60,5.998999999999995,0.92,-0.018037313432835766
61,6.0989999999999895,0.901,-0.03703731343283578
62,6.198999999999984,0.912,-0.026037313432835774
63,6.302999999999997,0.87,-0.06803731343283581
64,6.399000000000001,0.81,-0.12803731343283575
65,6.501999999999981,0.78,-0.15803731343283578
66,6.599999999999994,0.837,-0.10103731343283584
67,6.698999999999984,0.936,-0.0020373134328357523
68,6.799999999999983,0.953,0.014962686567164152
69,6.899999999999977,0.915,-0.02303731343283577
70,6.998999999999995,0.864,-0.07403731343283582
71,7.099999999999994,0.775,-0.16303731343283578
72,7.199999999999989,0.774,-0.16403731343283579
73,7.302999999999997,0.815,-0.12303731343283586
74,7.399000000000001,0.883,-0.0550373134328358
75,7.500999999999976,0.941,0.002962686567164141
76,7.5989999999999895,0.888,-0.050037313432835795
77,7.698999999999984,0.788,-0.15003731343283577
78,7.799999999999983,0.757,-0.1810373134328358
79,7.899999999999977,0.766,-0.1720373134328358
80,7.998999999999995,0.825,-0.11303731343283585
81,8.09899999999999,0.868,-0.07003731343283581
82,8.198999999999984,0.929,-0.009037313432835758
83,8.301999999999992,0.874,-0.06403731343283581
84,8.397999999999996,0.775,-0.16303731343283578
85,8.500999999999976,0.768,-0.1700373134328358
86,8.59899999999999,0.766,-0.1720373134328358
87,8.698999999999984,0.803,-0.13503731343283576
88,8.799999999999983,0.879,-0.0590373134328358
89,8.899000000000001,0.9,-0.038037313432835784
90,8.998999999999995,0.825,-0.11303731343283585
91,9.097999999999985,0.789,-0.14903731343283577
92,9.198999999999984,0.744,-0.1940373134328358
93,9.301999999999992,0.767,-0.1710373134328358
94,9.397999999999996,0.795,-0.14303731343283577
95,9.500999999999976,0.865,-0.07303731343283582
96,9.59899999999999,0.867,-0.07103731343283581
97,9.698999999999984,0.86,-0.07803731343283582
98,9.799999999999983,0.832,-0.10603731343283584
99,9.962999999999994,0.783,-0.15503731343283578
100,9.998999999999995,0.799,-0.13903731343283576
101,10.09899999999999,0.836,-0.10203731343283584
102,10.198999999999984,0.882,-0.0560373134328358
103,10.301999999999992,0.866,-0.07203731343283581
104,10.399000000000001,0.854,-0.08403731343283583
105,10.500999999999976,0.801,-0.13703731343283576
106,10.59899999999999,0.748,-0.1900373134328358
107,10.698999999999984,0.76,-0.1780373134328358
108,10.799999999999983,0.817,-0.12103731343283586
109,11.570999999999998,0.847,-0.09103731343283583
110,11.577999999999975,0.853,-0.08503731343283583
